asteroid_diameter_km,asteroid_mass_kg,composition_type,metal_concentration_pct,water_ice_content_pct,delta_v_km_s,distance_au,orbital_period_years,spin_rate_hours,estimated_market_value_usd,extraction_tech_readiness,regulatory_risk_score,mining_viability,viability_score_composite,roi_estimate_log
5.55,123319373059019.0,C-type,1.64,20.71,6.46,1.46,1.84,25.16,18122899182.0,8,0.338,0,0.26529317460317464,2.895147873198591e-06
0.9,2048697096924.0,M-type,74.77,0.72,6.12,1.49,1.75,8.83,6083893599.0,9,0.265,1,0.5138114285714285,4.8774879819421905e-05
7.07,255638970956445.0,C-type,5.51,36.21,5.46,1.28,1.43,26.88,63020930944.0,3,0.035,1,0.28600333333333333,5.108638681068426e-05
9.33,585907893451172.0,C-type,5.41,30.04,6.12,1.72,2.35,34.14,299013259816.0,6,0.338,0,0.2909980952380952,0.000158774767869655
8.77,487992251836169.0,C-type,2.19,28.41,7.5,1.02,1.2,20.33,50809700781.0,6,0.158,0,0.25351380952380953,9.792976885643349e-06
16.39,3183907604280501.0,C-type,6.72,25.96,5.14,1.66,2.19,6.36,2436871895404.0,6,0.066,1,0.29799809523809523,0.0023274941105153758
12.19,1309202787996065.0,C-type,1.28,29.34,8.31,2.22,3.32,4.48,125921766114.0,8,0.133,0,0.2633146031746032,7.2485523974289065e-06
7.78,667118263459945.0,S-type,14.63,3.43,9.85,3.42,6.26,3.87,998299773445.0,5,0.427,0,0.18365126984126987,0.00034051529522950507
4.12,50524448838395.0,C-type,3.75,26.07,4.88,1.37,1.5,29.44,10943245473.0,8,0.422,1,0.3123846031746032,7.270894448620512e-06
0.61,164572274786.0,C-type,14.99,17.91,11.47,4.26,8.91,10.94,167228121.0,3,0.123,0,0.18316619047619048,3.6224162634940496e-08
7.5,305417442467222.0,C-type,3.29,26.96,5.74,2.06,2.95,7.54,99534874622.0,7,0.071,1,0.2898177777777778,3.248021590068522e-05
5.75,529598617289978.0,M-type,51.71,0.52,5.45,1.52,2.0,10.96,2720510101056.0,1,0.257,1,0.3416539682539683,0.018620089334814908
6.21,339543770624117.0,S-type,4.95,5.46,6.16,1.6,2.0,28.92,127503284950.0,4,0.509,0,0.1926244444444445,6.397022960724894e-05
0.97,656231958566.0,C-type,4.12,15.8,4.96,1.75,2.26,22.71,129916865.0,5,0.236,0,0.2485784126984127,7.911643036168667e-08
1.22,1327437471161.0,C-type,8.88,24.9,6.41,1.45,1.79,17.3,639697743.0,7,0.108,0,0.29642634920634925,5.642941113839851e-07
15.86,2882473872117140.0,C-type,5.95,18.4,4.63,1.3,1.47,20.29,678271830986.0,6,0.429,0,0.2795238095238095,0.0008181882704864064
4.27,56410502849703.0,C-type,0.81,24.38,5.46,1.95,2.61,14.07,5497862544.0,6,0.595,1,0.26504666666666665,5.063741008937413e-07
10.15,756313843040990.0,C-type,1.75,23.76,3.55,0.82,0.92,15.51,81256290839.0,2,0.216,1,0.24978793650793654,6.199454636715816e-05
4.64,72024048476053.0,C-type,9.65,24.28,7.6,1.21,1.27,14.54,53050439414.0,2,0.399,0,0.22509079365079368,4.010404067445453e-05
4.64,72397807658637.0,C-type,6.17,30.33,5.92,2.45,3.93,12.18,21861042145.0,2,0.353,0,0.25332079365079363,1.1155552762094009e-05
13.82,1906216406353762.0,C-type,4.72,30.51,4.98,0.77,0.76,22.26,323439599104.0,8,0.237,1,0.32815603174603175,0.0003477184447623804
2.41,10148164931415.0,C-type,5.97,29.63,6.47,2.11,2.94,16.27,5381125957.0,7,0.172,0,0.29811920634920636,2.467618415726107e-06
5.03,91935635013069.0,C-type,1.74,31.56,6.34,1.84,2.41,6.02,13319208977.0,1,0.55,0,0.22217968253968254,2.0301605514415284e-06
